RideID,tpep_pickup_datetime,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount,DelayFactor
236,1/29/16 11:48,10.08,-73.87091827,40.77375793,-73.99071503,40.70267868,42.64,5
237,1/29/16 11:48,13.3,-73.87445068,40.77394867,-73.98777008,40.66331863,53.5,5
238,1/29/16 11:48,10.64,-73.87306976,40.77420044,-73.98065186,40.75328827,39.84,6
239,1/29/16 11:48,0.41,-73.87295532,40.77415085,-73.87812042,40.77127075,52.8,8
240,1/29/16 11:48,9.77,-73.87497711,40.77402878,-73.97914886,40.78953934,38.84,4
241,1/2/16 7:42,9.77,-73.87100983,40.77362061,-73.98892975,40.72513962,28.3,0
242,1/2/16 7:42,4.8,-73.87284088,40.77413559,-73.84914398,40.72796631,15.3,9
243,1/2/16 7:42,9.32,-73.87088013,40.77360916,-73.98391724,40.75970078,38.34,0
244,1/2/16 7:50,10.6,-73.87081146,40.77362823,-73.9801712,40.76428986,37.34,1
245,1/2/16 7:55,14.26,-73.87097168,40.7736969,-74.00254822,40.71863174,55.01,7
246,1/2/16 7:58,7.8,-73.87452698,40.77406693,-73.95418549,40.78466415,35.19,3
247,1/2/16 7:59,6.9,-73.87093353,40.77365875,-73.94205475,40.71121979,24.3,3
248,1/2/16 8:01,8.8,-73.87110901,40.7736702,-73.98616028,40.75828552,32.34,0
249,1/2/16 8:02,6.9,-73.87086487,40.77378845,-73.9491806,40.80182648,31.84,0
250,1/2/16 8:02,9.5,-73.87442017,40.77399445,-73.98301697,40.69664383,32.15,2
251,1/2/16 8:03,14,-73.87445831,40.77404022,-73.95241547,40.66145325,48.95,0
252,1/2/16 8:03,0,-73.87333679,40.77428818,0,0,5.8,4
253,1/2/16 8:04,9.8,-73.87445831,40.77405167,-73.97797394,40.72935867,34.55,5
254,1/2/16 8:04,0,-73.87291718,40.7739296,-73.87299347,40.77384949,3.3,3
255,1/2/16 8:05,8.2,-73.87295532,40.77388382,-73.95776367,40.73118973,30.35,8
256,1/2/16 8:05,7.32,-73.87297058,40.77384949,-73.80722046,40.69897842,26.76,7
257,1/2/16 8:05,9.25,-73.87452698,40.77412033,-73.96326447,40.77427673,40.01,0
258,1/2/16 8:05,11.3,-73.87478638,40.77412033,-73.99961853,40.68837357,38.15,0
259,1/2/16 8:06,7.1,-73.87309265,40.77396774,-73.95633698,40.71986771,26.15,9
260,1/2/16 8:07,12.3,-73.8744812,40.77409363,-73.96257782,40.65965271,41.8,0
261,1/2/16 8:08,0.6,-73.87269592,40.77416611,-73.95511627,40.74295425,26.73,0
262,1/2/16 8:09,6.7,-73.87334442,40.77410889,-73.94272614,40.71485138,26.6,0
263,1/2/16 8:09,4.1,-73.87245941,40.77402496,-73.91375732,40.74337769,17.76,0
264,1/2/16 8:09,12.67,-73.87325287,40.77387238,-73.9605484,40.65670013,45.96,0
265,1/2/16 8:09,9,-73.87448883,40.77410889,-73.99327087,40.75208282,32.34,7
266,1/2/16 8:10,5.5,-73.87454224,40.77403641,-73.94335175,40.76901627,21.95,2
267,1/2/16 8:10,9.09,-73.87303162,40.7741394,-73.98931885,40.7424202,32.34,0
268,1/2/16 8:10,6.56,-73.87296295,40.77399445,-73.93564606,40.8120079,31.61,1
269,1/2/16 8:10,3.4,-73.87451172,40.77404404,-73.91436005,40.76358414,12.3,0
270,1/2/16 8:11,10.91,-73.87286377,40.77381897,-73.98323059,40.76459885,38.34,0
271,1/2/16 8:11,8.15,-73.87445068,40.77399826,-73.95160675,40.77038956,30.34,2
272,1/2/16 8:11,8,-73.87089539,40.77377319,-73.9259491,40.70212936,27.8,0
273,1/2/16 8:12,2.9,-73.87026215,40.77388,-73.91368103,40.75470734,11.8,8
274,1/2/16 8:12,13.4,-73.87448883,40.77405167,-73.99475098,40.6600914,46.62,3
275,1/2/16 8:12,10.1,-73.87096405,40.77370071,-73.93691254,40.85067368,34.84,1
276,1/2/16 8:13,10.63,-73.87345886,40.77391052,-73.97846985,40.7628479,36.84,4
277,1/2/16 8:16,15.51,-73.8711853,40.7738533,-73.97781372,40.66928101,46.3,9
278,1/2/16 8:17,3.19,-73.8707962,40.77363968,-73.91976929,40.77544022,11.3,9
279,1/2/16 8:18,7.4,-73.87533569,40.77143478,-74.00311279,40.70836639,22.3,2
280,1/2/16 8:20,4.9,-73.87093353,40.77370071,-73.92769623,40.74446106,17.3,1
281,1/2/16 8:21,4.45,-73.87075043,40.77362823,-73.91900635,40.74195099,18.36,6
282,1/2/16 8:21,21.7,-73.87374115,40.773983,-74.14929199,40.7305336,128.62,0
283,1/2/16 8:22,12.74,-73.87310028,40.7739563,-74.01651764,40.71009064,36.3,7
284,1/2/16 8:22,6.37,-73.8707428,40.77362823,-73.94210815,40.72254944,19.8,7
285,1/2/16 8:24,6.7,-73.87012482,40.77342606,-73.94720459,40.71718597,20.8,3
286,1/2/16 8:24,6.7,-73.87089539,40.77366257,-73.89826202,40.81422424,26.84,3
287,1/2/16 8:25,7,-73.8708725,40.77374268,-73.89879608,40.81369781,32.84,2
288,1/2/16 8:25,6.96,-73.87454987,40.7740593,-73.95140076,40.72658157,25.56,2
